三相変圧器容量 kVA,,30以下,,,50〜75,,100,150〜300,,,500〜1500,,,,2000〜3000
単3変圧器容量 kVA,,20以下,,,30〜50,,75,100〜150,200〜300,,,,−,,
"遮断容量 kA
(sym)",,"1.5
2.5
5
7.5
10
15
25
30
36
50
85
100
125",,,,,,,,,,,,,
フレーム A,30・32,"NV30-KC
NV32-SVF
NV32-CVF
NV30-FA（注1）（注2）
NV32-SV
（注2）",,,,,,,,,,,,,
,50・60・63,"NV50-FA
NV50-KC
NV63-CVF
（注1）（注2）
（注2）
NV63-CV",,,,"NV63-SVF
NV63-SV",,NV63-HV,,,,,,,
,100・125,"NV125-CVF
NV100-KC（注2）
NV125-CV",,,,,,,,NV125-SVF/SV,,,NV125-HV,,
,,,,,,,,,,NV125-SEV,,,,NV125-HEV,
,225・250,NV250-CV,,,,,,,,,,"NV250-SV
NV250-SEV",,"NV250-HV
NV250-HEV",
,400,NV400-CW,,,,,,,,,,,NV400-SW/SEW,NV400-HEW,NV400-REW
,600・630,NV630-CW,,,,,,,,,,,NV630-SW/SEW,NV630-HEW,
,800,NV800-SEW,,,,,,,,,,,,NV800-HEW,
,1000,NV1000-SB（注2）,,,,,,,,,,,,,
,1200,NV1200-SB（注2）,,,,,,,,,,,,,
