主回路電圧,モータ,,選　定　フ　レ　ー　ム,,,,,
,容量[kW],電流[A],100万回,150万回,200万回,300万回,400万回,500万回
"三相･
AC200～240V",0.75以下,4.8以下,T10,T10,T10,T10,T10,T10
,1.5,8,T10,T10,T10,T10,T12,T20
,2.2,11.1,T10,T10,T10、T12,T20,T20,T21
,3.7,17.4,T20,T20,T20、T21,T25,T35,T35
,5.5,26,T25,T25,T25,T35,T50,T50
,7.5,34,T35,T35,T35,T50,T65,T65
,11,48,T50,T50,T50,T65,Ｎ･125,Ｎ･125
,15,65,T65,T65,T65,Ｎ･125,Ｎ･150,Ｎ･150
,18.5,79,T80,Ｎ･125,Ｎ･125,Ｎ･150,Ｎ･180,Ｎ･180
,22,93,T100,Ｎ･125,Ｎ･150,Ｎ･180,Ｎ･220,Ｎ･220
,30,124,Ｎ･125,Ｎ･180,Ｎ･180,Ｎ･220,Ｎ･300,Ｎ･300
,37,152,Ｎ･150,Ｎ･220,Ｎ･220,Ｎ･300,Ｎ･300,Ｎ･600AB
,45,180,Ｎ･180,Ｎ･300,Ｎ･300,Ｎ･600AB,Ｎ･600AB,Ｎ･600AB
,55,220,Ｎ･220,Ｎ･300,Ｎ･600AB,Ｎ･600AB,Ｎ･800AB,Ｎ･800AB
,75,300,Ｎ･300,Ｎ･600AB,Ｎ･600AB,Ｎ･800AB,ー,ー
,110,440,Ｎ･600AB,Ｎ･800AB,ー,ー,ー,ー
"三相･
AC380～440V",1.5以下,4.0以下,T10,T10,T10,T10,T10,T10
,2.2,5.6,T10,T10,T10,T12,T20,T20
,3.7,8.7,T12,T12,T12,T20,T20,T21
,5.5,13,T20,T20,T20,T21,T21,T25
,7.5,17,T20,T21,T21,T25,T35,T35
,11,24,T25,T25,T25,T35,T50,T50
,15,32.5,T35,T35,T35,T50,T50,T80
,18.5,39.5,T50,T50,T50,T65,T65,T100
,22,46.5,T50,T50,T50,T65,T100,Ｎ･125
,30,62,T65,T65,T65,Ｎ･125,Ｎ･150,Ｎ･150
,37,76,T80,T100,Ｎ･125,Ｎ･150,Ｎ･150,Ｎ･180
,45,90,T100,Ｎ･125,Ｎ･150,Ｎ･180,Ｎ･180,Ｎ･220
,55,110,Ｎ･125,Ｎ･150,Ｎ･180,Ｎ･220,Ｎ･220,Ｎ･300
,75,150,Ｎ･150,Ｎ･220,Ｎ･220,Ｎ･300,Ｎ･300,Ｎ･600AB
,90,180,Ｎ･180,Ｎ･300,Ｎ･300,Ｎ･600AB,Ｎ･600AB,Ｎ･600AB
,110,220,Ｎ･220,Ｎ･300,Ｎ･600AB,Ｎ･600AB,Ｎ･800AB,Ｎ･800AB
,132,264,Ｎ･300,Ｎ･600AB,Ｎ･600AB,Ｎ･800AB,Ｎ･800AB,ー
,160,320,Ｎ･400,Ｎ･600AB,Ｎ･800AB,Ｎ･800AB,ー,ー
,220,440,Ｎ･600AB,Ｎ･800AB,ー,ー,ー,ー
